coin,metal,weight_oz,diameter_mm,thickness_mm,first_mint,currency,denomination
Eagle,silver,1,40.6,2.98,1986,USD,1
Eagle,gold,1,32.7,2.87,1986,USD,50
Eagle,gold,0.5,27,2.24,1986,USD,25
Eagle,gold,0.25,22,1.83,1986,USD,10
Eagle,gold,0.1,16.5,1.19,1986,USD,5
Buffalo,gold,1,32.7,2.95,2006,USD,50
Maple,silver,1,38,3.29,1988,CAD,5
Maple,gold,1,30,2.8,1979,CAD,50
Maple,gold,0.5,25,2.23,1986,CAD,20
Maple,gold,0.25,20,1.7,1982,CAD,10
Maple,gold,0.1,16,1.22,1982,CAD,5
Maple,gold,0.05,13.9,0.92,1993,CAD,1
Britannia,silver,1,38.61,3,1997,GBP,2
Britannia,gold,1,32.69,2.7,1987,GBP,100
Britannia,gold,0.5,27,2.08,1987,GBP,50
Britannia,gold,0.25,22,1.63,1987,GBP,25
Britannia,gold,0.1,16.5,1.2,1987,GBP,10
Britannia,gold,0.05,12,0.83,2013,GBP,1
Sovereign,gold,0.235,22.05,1.52,1817,GBP,1
Libertad,silver,5,65,5.4,1996,,
Libertad,silver,2,48,4.5,1996,,
Libertad,silver,1,40,3,1982,,
Libertad,silver,0.5,33,2.35,1991,,
Libertad,silver,0.25,27,1.7,1991,,
Libertad,silver,0.1,20,1.4,1991,,
Libertad,silver,0.05,16,1,1991,,
Libertad,gold,1,34.5,2.5,1981,,
Libertad,gold,0.5,29,1.75,1981,,
Libertad,gold,0.25,23,1.3,1981,,
Libertad,gold,0.1,16,1.3,1991,,
Libertad,gold,0.05,13,0.65,1991,,
Kangaroo,silver,1,40.6,2.98,2015,AUD,1
Kangaroo,gold,1,32.6,2.95,1986,AUD,100
Kangaroo,gold,0.5,25.6,2.5,1986,AUD,50
Kangaroo,gold,0.25,20.6,2.3,1986,AUD,25
Kangaroo,gold,0.1,16.1,1.3,1986,AUD,15
Kangaroo,gold,0.05,14.1,1.4,1986,AUD,5
Swan,silver,5,50.6,11,2018,AUD,1
Swan,silver,1,40.9,3.5,2017,AUD,1
Swan,gold,1,32.6,2.95,2017,AUD,100
Koala,silver,1,40.9,3.5,2007,AUD,1
Kookaburra,silver,1,40.6,4,1990,AUD,1
Panda,silver,1,40,2.98,1987,CNY,10
Panda,gold,1,32.05,2.7,1982,CNY,500
Panda,gold,0.5,27,1.85,1982,CNY,200
Panda,gold,0.25,21.95,1.53,1982,CNY,100
Panda,gold,0.1,17.95,1.05,1982,CNY,50
Panda,gold,0.2,13.92,0.83,1983,CNY,20
Krugerrand,silver,1,38.7,,2017,,
Krugerrand,gold,1,32.8,2.84,1967,,
Krugerrand,gold,0.5,27,2.2,1980,,
Krugerrand,gold,0.25,22,1.89,1980,,
Krugerrand,gold,0.1,16.5,1.35,1980,,
Cheonwang,silver,1,40,,2016,,
