year,coin,metal,weight_ozt,fineness,diameter_mm,thickness_mm,currency,denomination
2023,Maple Leaf,silver,1,.9999,37.97,3.29,CAD,1
2022,Maple Leaf,silver,1,.9999,37.97,3.29,CAD,1
2021,Maple Leaf,silver,1,.9999,37.97,3.29,CAD,1
2020,Maple Leaf,silver,1,.9999,37.97,3.29,CAD,1
2019,Maple Leaf,silver,1,.9999,37.97,3.29,CAD,1
2018,Maple Leaf,silver,1,.9999,37.97,3.29,CAD,1
2017,Maple Leaf,silver,1,.9999,37.97,3.29,CAD,1
2016,Maple Leaf,silver,1,.9999,37.97,3.29,CAD,1
2015,Maple Leaf,silver,1,.9999,37.97,3.29,CAD,1
2014,Maple Leaf,silver,1,.9999,37.97,3.29,CAD,1
2013,Maple Leaf,silver,1,.9999,37.97,3.29,CAD,1
2012,Maple Leaf,silver,1,.9999,37.97,3.29,CAD,1
2011,Maple Leaf,silver,1,.9999,37.97,3.29,CAD,1
2010,Maple Leaf,silver,1,.9999,37.97,3.29,CAD,1
2009,Maple Leaf,silver,1,.9999,37.97,3.29,CAD,1
2008,Maple Leaf,silver,1,.9999,37.97,3.29,CAD,1
2007,Maple Leaf,silver,1,.9999,37.97,3.29,CAD,1
2006,Maple Leaf,silver,1,.9999,37.97,3.29,CAD,1
2005,Maple Leaf,silver,1,.9999,37.97,3.29,CAD,1
2004,Maple Leaf,silver,1,.9999,37.97,3.29,CAD,1
2003,Maple Leaf,silver,1,.9999,37.97,3.29,CAD,1
2002,Maple Leaf,silver,1,.9999,37.97,3.29,CAD,1
2001,Maple Leaf,silver,1,.9999,37.97,3.29,CAD,1
2000,Maple Leaf,silver,1,.9999,37.97,3.29,CAD,1
1999,Maple Leaf,silver,1,.9999,37.97,3.29,CAD,1
1998,Maple Leaf,silver,1,.9999,37.97,3.29,CAD,1
1997,Maple Leaf,silver,1,.9999,37.97,3.29,CAD,1
1996,Maple Leaf,silver,1,.9999,37.97,3.29,CAD,1
1995,Maple Leaf,silver,1,.9999,37.97,3.29,CAD,1
1994,Maple Leaf,silver,1,.9999,37.97,3.29,CAD,1
1993,Maple Leaf,silver,1,.9999,37.97,3.29,CAD,1
1992,Maple Leaf,silver,1,.9999,37.97,3.29,CAD,1
1991,Maple Leaf,silver,1,.9999,37.97,3.29,CAD,1
1990,Maple Leaf,silver,1,.9999,37.97,3.29,CAD,1
1989,Maple Leaf,silver,1,.9999,37.97,3.29,CAD,1
1988,Maple Leaf,silver,1,.9999,37.97,3.29,CAD,1
2023,Maple Leaf,gold,1,.9999,30,2.8,CAD,50
2022,Maple Leaf,gold,1,.9999,30,2.8,CAD,50
2021,Maple Leaf,gold,1,.9999,30,2.8,CAD,50
